,index,name of standard cell,number of fanout
346,8316,sky130_fd_sc_hd__dfxtp_2 U8114,3
347,8317,sky130_fd_sc_hd__dfxtp_2 U8115,3
348,8318,sky130_fd_sc_hd__dfxtp_2 U8116,3
349,8319,sky130_fd_sc_hd__dfxtp_2 U8117,3
350,8320,sky130_fd_sc_hd__dfxtp_2 U8118,3
351,8321,sky130_fd_sc_hd__dfxtp_2 U8119,3
352,8323,sky130_fd_sc_hd__dfxtp_2 U8120,3
353,8324,sky130_fd_sc_hd__dfxtp_2 U8121,3
354,8325,sky130_fd_sc_hd__dfxtp_2 U8122,3
355,8326,sky130_fd_sc_hd__dfxtp_2 U8123,3
356,8327,sky130_fd_sc_hd__dfxtp_2 U8124,3
357,8328,sky130_fd_sc_hd__dfxtp_2 U8125,3
358,8329,sky130_fd_sc_hd__dfxtp_2 U8126,3
359,8330,sky130_fd_sc_hd__dfxtp_2 U8127,4
360,8331,sky130_fd_sc_hd__dfxtp_2 U8128,4
361,8332,sky130_fd_sc_hd__dfxtp_2 U8129,4
362,8334,sky130_fd_sc_hd__dfxtp_2 U8130,4
363,8335,sky130_fd_sc_hd__dfxtp_2 U8131,4
364,8336,sky130_fd_sc_hd__dfxtp_2 U8132,3
365,8337,sky130_fd_sc_hd__dfxtp_2 U8133,3
366,8338,sky130_fd_sc_hd__dfxtp_2 U8134,3
367,8339,sky130_fd_sc_hd__dfxtp_2 U8135,3
368,8340,sky130_fd_sc_hd__dfxtp_2 U8136,3
369,8341,sky130_fd_sc_hd__dfxtp_2 U8137,3
370,8342,sky130_fd_sc_hd__dfxtp_2 U8138,3
371,8343,sky130_fd_sc_hd__dfxtp_2 U8139,3
372,8345,sky130_fd_sc_hd__dfxtp_2 U8140,3
373,8346,sky130_fd_sc_hd__dfxtp_2 U8141,3
374,8347,sky130_fd_sc_hd__dfxtp_2 U8142,3
375,8348,sky130_fd_sc_hd__dfxtp_2 U8143,3
376,8349,sky130_fd_sc_hd__dfxtp_2 U8144,3
377,8350,sky130_fd_sc_hd__dfxtp_2 U8145,3
378,8351,sky130_fd_sc_hd__dfxtp_2 U8146,3
379,8352,sky130_fd_sc_hd__dfxtp_2 U8147,3
380,8353,sky130_fd_sc_hd__dfxtp_2 U8148,3
381,8354,sky130_fd_sc_hd__dfxtp_2 U8149,3
382,8356,sky130_fd_sc_hd__dfxtp_2 U8150,3
383,8357,sky130_fd_sc_hd__dfxtp_2 U8151,3
384,8358,sky130_fd_sc_hd__dfxtp_2 U8152,3
385,8359,sky130_fd_sc_hd__dfxtp_2 U8153,3
386,8360,sky130_fd_sc_hd__dfxtp_2 U8154,3
387,8361,sky130_fd_sc_hd__dfxtp_2 U8155,3
388,8362,sky130_fd_sc_hd__dfxtp_2 U8156,3
389,8363,sky130_fd_sc_hd__dfxtp_2 U8157,3
390,8364,sky130_fd_sc_hd__dfxtp_2 U8158,3
391,8365,sky130_fd_sc_hd__dfxtp_2 U8159,4
392,8367,sky130_fd_sc_hd__dfxtp_2 U8160,4
393,8368,sky130_fd_sc_hd__dfxtp_2 U8161,4
394,8369,sky130_fd_sc_hd__dfxtp_2 U8162,4
395,8370,sky130_fd_sc_hd__dfxtp_2 U8163,4
396,8371,sky130_fd_sc_hd__dfxtp_2 U8164,3
397,8372,sky130_fd_sc_hd__dfxtp_2 U8165,3
398,8373,sky130_fd_sc_hd__dfxtp_2 U8166,3
399,8374,sky130_fd_sc_hd__dfxtp_2 U8167,3
400,8375,sky130_fd_sc_hd__dfxtp_2 U8168,3
401,8376,sky130_fd_sc_hd__dfxtp_2 U8169,3
402,8378,sky130_fd_sc_hd__dfxtp_2 U8170,3
403,8379,sky130_fd_sc_hd__dfxtp_2 U8171,3
404,8380,sky130_fd_sc_hd__dfxtp_2 U8172,3
405,8381,sky130_fd_sc_hd__dfxtp_2 U8173,3
406,8382,sky130_fd_sc_hd__dfxtp_2 U8174,3
407,8383,sky130_fd_sc_hd__dfxtp_2 U8175,3
408,8384,sky130_fd_sc_hd__dfxtp_2 U8176,3
409,8385,sky130_fd_sc_hd__dfxtp_2 U8177,3
410,8386,sky130_fd_sc_hd__dfxtp_2 U8178,3
411,8387,sky130_fd_sc_hd__dfxtp_2 U8179,3
412,8389,sky130_fd_sc_hd__dfxtp_2 U8180,3
413,8390,sky130_fd_sc_hd__dfxtp_2 U8181,3
414,8391,sky130_fd_sc_hd__dfxtp_2 U8182,3
415,8392,sky130_fd_sc_hd__dfxtp_2 U8183,3
416,8393,sky130_fd_sc_hd__dfxtp_2 U8184,3
417,8394,sky130_fd_sc_hd__dfxtp_2 U8185,3
418,8395,sky130_fd_sc_hd__dfxtp_2 U8186,3
419,8396,sky130_fd_sc_hd__dfxtp_2 U8187,3
420,8397,sky130_fd_sc_hd__dfxtp_2 U8188,3
421,8398,sky130_fd_sc_hd__dfxtp_2 U8189,3
422,8400,sky130_fd_sc_hd__dfxtp_2 U8190,3
423,8401,sky130_fd_sc_hd__dfxtp_2 U8191,4
424,8402,sky130_fd_sc_hd__dfxtp_2 U8192,4
425,8403,sky130_fd_sc_hd__dfxtp_2 U8193,4
426,8404,sky130_fd_sc_hd__dfxtp_2 U8194,4
427,8405,sky130_fd_sc_hd__dfxtp_2 U8195,4
428,8406,sky130_fd_sc_hd__dfxtp_2 U8196,3
429,8407,sky130_fd_sc_hd__dfxtp_2 U8197,3
430,8408,sky130_fd_sc_hd__dfxtp_2 U8198,3
431,8409,sky130_fd_sc_hd__dfxtp_2 U8199,3
432,8412,sky130_fd_sc_hd__dfxtp_2 U8200,3
433,8413,sky130_fd_sc_hd__dfxtp_2 U8201,3
